epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4549,1.64001,3.5127,1.55304,0.0125,0.96667,0.4776,0.3303,0.96163,3.13141,1.03162,0.0004,0.0004,0.0004
2,19.0746,1.55894,2.70761,1.53484,0.77616,0.3554,0.67438,0.2903,1.6002,2.84303,1.53677,0.000804456,0.000804456,0.000804456
3,23.955,1.5829,2.25199,1.49168,0.41276,0.01667,0.04087,0.0131,2.40648,4.18211,3.03861,0.00120075,0.00120075,0.00120075
4,28.7322,1.57618,2.00437,1.45909,0.63116,0.60751,0.63222,0.26305,1.86491,2.80346,1.47757,0.00121287,0.00121287,0.00121287
5,33.5151,1.55204,1.9669,1.45625,0.76861,0.73644,0.85487,0.46373,1.49351,2.36937,1.33192,0.0012005,0.0012005,0.0012005
6,38.5093,1.56485,1.87174,1.47799,0.73729,0.71024,0.82133,0.4593,1.54324,3.30354,1.45911,0.00118812,0.00118812,0.00118812
7,43.2972,1.51105,1.77794,1.44876,0.70115,0.82549,0.80325,0.52357,1.11293,1.42824,1.10221,0.00117575,0.00117575,0.00117575
8,48.1457,1.47107,1.65574,1.39006,0.90234,0.81029,0.8723,0.56539,1.29243,1.18315,1.1118,0.00116337,0.00116337,0.00116337
9,52.9435,1.46033,1.56351,1.3444,0.85571,0.89394,0.90985,0.57094,1.27488,1.13182,1.13132,0.001151,0.001151,0.001151
10,57.6768,1.43712,1.42501,1.36434,0.88222,0.88941,0.92879,0.64772,1.06464,1.02678,1.04349,0.00113863,0.00113863,0.00113863
11,62.4103,1.452,1.43746,1.34373,0.80357,0.77714,0.83695,0.59823,1.0942,1.12471,1.05277,0.00112625,0.00112625,0.00112625
12,67.2362,1.42795,1.43615,1.35543,0.85457,0.91129,0.93264,0.53894,1.45465,1.03932,1.20718,0.00111388,0.00111388,0.00111388
13,72.1299,1.40377,1.33649,1.33922,0.90877,0.82594,0.94937,0.64122,1.23926,0.91099,1.07875,0.0011015,0.0011015,0.0011015
14,79.2288,1.40512,1.30246,1.31301,0.86832,0.9567,0.93921,0.69812,1.05587,0.81016,1.02177,0.00108913,0.00108913,0.00108913
15,88.1988,1.37031,1.29458,1.30208,0.86525,0.90807,0.931,0.66753,1.00901,0.85528,0.96959,0.00107675,0.00107675,0.00107675
16,96.4877,1.3819,1.22857,1.29272,0.88849,0.83252,0.9248,0.62756,1.14416,0.91072,1.04923,0.00106437,0.00106437,0.00106437
17,101.298,1.35547,1.1923,1.29576,0.98372,0.90832,0.98571,0.69145,1.11544,0.70891,1.02785,0.001052,0.001052,0.001052
18,106.116,1.3792,1.19538,1.33102,0.93267,0.96528,0.97805,0.63627,1.22892,0.79555,1.09349,0.00103962,0.00103962,0.00103962
19,110.901,1.32482,1.1699,1.29793,0.86855,0.86462,0.98531,0.68943,1.01918,0.80879,1.00303,0.00102725,0.00102725,0.00102725
20,115.731,1.288,1.11115,1.26654,0.96907,0.98931,0.9875,0.73798,0.96985,0.61757,0.95979,0.00101488,0.00101488,0.00101488
21,120.617,1.29188,1.08277,1.27436,0.95832,0.97982,0.98884,0.67024,1.16608,0.67521,1.04811,0.0010025,0.0010025,0.0010025
22,125.639,1.30773,1.06456,1.28854,0.93153,0.93707,0.97091,0.69401,1.13077,0.70783,1.05328,0.000990125,0.000990125,0.000990125
23,130.56,1.27392,1.03877,1.25961,0.86527,0.90995,0.94909,0.67076,1.13155,0.8023,1.03894,0.00097775,0.00097775,0.00097775
24,135.392,1.32349,1.03963,1.2831,0.94073,0.94481,0.97607,0.71288,0.95003,0.67483,0.98467,0.000965375,0.000965375,0.000965375
25,140.162,1.30207,1.04413,1.2681,0.9111,0.94511,0.96946,0.6828,1.09064,0.72369,1.03858,0.000953,0.000953,0.000953
26,144.923,1.27999,1.02025,1.24576,0.9894,0.92821,0.97316,0.73339,1.01839,0.67895,0.99824,0.000940625,0.000940625,0.000940625
27,149.741,1.23638,0.96589,1.23726,0.74496,0.55168,0.74819,0.46863,1.38578,1.75552,1.19368,0.00092825,0.00092825,0.00092825
28,154.557,1.25999,0.97925,1.24328,0.98537,0.95046,0.97938,0.76573,0.90144,0.56448,0.94921,0.000915875,0.000915875,0.000915875
29,159.21,1.2963,0.97428,1.26231,0.96757,0.93401,0.96752,0.74425,0.95474,0.64553,1.01291,0.0009035,0.0009035,0.0009035
30,163.848,1.26891,0.94874,1.25931,0.92439,0.95817,0.98216,0.69844,1.08638,0.69836,1.08846,0.000891125,0.000891125,0.000891125
31,168.598,1.26331,0.97013,1.25402,0.91864,0.87035,0.91994,0.69123,0.98635,0.7975,0.97622,0.00087875,0.00087875,0.00087875
32,173.419,1.23948,0.90449,1.22813,0.95629,0.93981,0.96175,0.67839,1.18623,0.63955,1.06345,0.000866375,0.000866375,0.000866375
33,178.186,1.26216,0.94451,1.26203,0.98752,0.979,0.99406,0.66303,1.2049,0.59277,1.08134,0.000854,0.000854,0.000854
34,182.911,1.23322,0.91809,1.23002,0.94725,0.95671,0.98557,0.68996,1.16115,0.59746,1.03769,0.000841625,0.000841625,0.000841625
35,187.724,1.26191,0.9233,1.24247,0.96021,0.95431,0.96878,0.74885,0.92754,0.60257,0.95831,0.00082925,0.00082925,0.00082925
36,192.508,1.2138,0.88518,1.22787,0.92111,0.92727,0.97699,0.76646,0.90937,0.63766,0.98972,0.000816875,0.000816875,0.000816875
37,197.552,1.21234,0.85848,1.22939,0.94692,0.94623,0.97125,0.75778,0.89716,0.59905,0.97835,0.0008045,0.0008045,0.0008045
38,205.126,1.19737,0.87553,1.24314,0.99399,0.9463,0.99297,0.72199,0.96794,0.57668,1.02013,0.000792125,0.000792125,0.000792125
39,212.589,1.21486,0.87732,1.24263,0.98536,0.96935,0.98162,0.73142,1.04412,0.5194,1.00955,0.00077975,0.00077975,0.00077975
40,220.515,1.17409,0.85763,1.21146,0.96168,0.94809,0.97258,0.74237,0.95741,0.55729,0.97699,0.000767375,0.000767375,0.000767375
41,227.332,1.19002,0.8709,1.21718,0.99018,0.95156,0.97378,0.76958,0.85904,0.49798,0.95401,0.000755,0.000755,0.000755
42,232.282,1.19536,0.83272,1.23249,0.96692,0.97068,0.98809,0.75725,0.97029,0.52397,0.97224,0.000742625,0.000742625,0.000742625
43,237.145,1.1835,0.82789,1.22749,0.94445,0.95157,0.98492,0.73859,0.98572,0.55401,0.98895,0.00073025,0.00073025,0.00073025
44,241.945,1.20602,0.86841,1.24804,0.96137,0.92924,0.97041,0.75041,0.87249,0.57603,0.96368,0.000717875,0.000717875,0.000717875
45,246.727,1.21454,0.85686,1.23311,0.96815,0.97204,0.98997,0.78961,0.87475,0.50059,0.95817,0.0007055,0.0007055,0.0007055
46,251.644,1.16813,0.85953,1.23021,0.9521,0.97887,0.98042,0.7094,1.10968,0.55493,1.05955,0.000693125,0.000693125,0.000693125
47,256.431,1.16347,0.7972,1.21317,0.95075,0.96068,0.98303,0.76713,0.86519,0.50604,0.97484,0.00068075,0.00068075,0.00068075
48,261.286,1.16661,0.78732,1.21469,0.97167,0.93205,0.97385,0.76007,0.90423,0.5429,0.99073,0.000668375,0.000668375,0.000668375
49,266.121,1.16333,0.82407,1.21528,0.98855,0.98333,0.9925,0.76118,0.87975,0.45415,0.95924,0.000656,0.000656,0.000656
50,270.903,1.14757,0.78628,1.1912,0.98959,0.97463,0.99184,0.77346,0.85834,0.45342,0.96166,0.000643625,0.000643625,0.000643625
51,275.61,1.17993,0.8048,1.21993,0.94689,0.9577,0.97815,0.75139,0.94512,0.55677,1.00481,0.00063125,0.00063125,0.00063125
52,280.774,1.1569,0.81601,1.207,0.97583,0.9737,0.99324,0.79776,0.84742,0.48161,0.95328,0.000618875,0.000618875,0.000618875
53,285.678,1.11855,0.78216,1.18382,0.98882,0.95745,0.98105,0.76987,0.88362,0.47898,0.97262,0.0006065,0.0006065,0.0006065
54,290.469,1.13354,0.74749,1.18437,0.98136,0.9485,0.96475,0.73066,1.01202,0.51809,1.00284,0.000594125,0.000594125,0.000594125
55,295.23,1.09364,0.75813,1.17517,0.98254,0.95424,0.9736,0.79353,0.86578,0.48063,0.9555,0.00058175,0.00058175,0.00058175
56,300.005,1.12077,0.76565,1.18067,0.99019,0.94549,0.9791,0.76986,0.86848,0.45553,0.9522,0.000569375,0.000569375,0.000569375
57,304.852,1.10218,0.73298,1.1752,0.98767,0.96338,0.98256,0.76462,0.87208,0.44566,0.96289,0.000557,0.000557,0.000557
58,309.788,1.11043,0.74453,1.16526,0.97249,0.95035,0.97815,0.76739,0.84648,0.49262,0.94517,0.000544625,0.000544625,0.000544625
59,314.931,1.12876,0.76843,1.19159,0.99196,0.97038,0.98306,0.79347,0.84066,0.4362,0.96749,0.00053225,0.00053225,0.00053225
60,319.804,1.11826,0.7559,1.19961,0.98391,0.94986,0.98678,0.77701,0.86253,0.46344,0.98241,0.000519875,0.000519875,0.000519875
61,324.63,1.0936,0.76098,1.17697,0.99087,0.96532,0.98276,0.79808,0.81069,0.43265,0.94479,0.0005075,0.0005075,0.0005075
62,329.408,1.07655,0.7294,1.1604,0.98767,0.96869,0.9829,0.78117,0.83528,0.44017,0.93898,0.000495125,0.000495125,0.000495125
63,334.158,1.07127,0.71533,1.16434,0.96253,0.97533,0.99136,0.78453,0.81741,0.43316,0.94177,0.00048275,0.00048275,0.00048275
64,338.894,1.03332,0.71318,1.14326,0.98649,0.95594,0.98703,0.7918,0.81014,0.43644,0.93412,0.000470375,0.000470375,0.000470375
65,343.665,1.07886,0.70815,1.16408,0.98397,0.97055,0.99071,0.77466,0.87406,0.45106,0.95045,0.000458,0.000458,0.000458
66,348.4,1.06322,0.70241,1.15476,0.98031,0.97667,0.99184,0.77964,0.86511,0.43186,0.95231,0.000445625,0.000445625,0.000445625
67,353.231,1.05381,0.70209,1.14799,0.9612,0.93627,0.98209,0.74334,0.96192,0.51147,0.99022,0.00043325,0.00043325,0.00043325
68,358.066,1.06303,0.68759,1.15339,0.99185,0.97971,0.99071,0.76585,0.9044,0.44068,0.98206,0.000420875,0.000420875,0.000420875
69,362.879,1.03712,0.67767,1.14361,0.98694,0.97364,0.989,0.78539,0.81648,0.41202,0.94003,0.0004085,0.0004085,0.0004085
70,367.631,1.03946,0.68335,1.14684,0.98707,0.96993,0.98865,0.7693,0.86847,0.4227,0.97638,0.000396125,0.000396125,0.000396125
71,372.459,1.03973,0.69156,1.1525,0.98981,0.98016,0.98245,0.79527,0.82093,0.40018,0.94018,0.00038375,0.00038375,0.00038375
72,377.281,1.04605,0.6945,1.1616,0.99019,0.98333,0.98276,0.78838,0.86099,0.40399,0.94764,0.000371375,0.000371375,0.000371375
73,381.956,0.9968,0.65813,1.1288,0.98818,0.98223,0.9925,0.77879,0.8699,0.41995,0.95002,0.000359,0.000359,0.000359
74,386.635,1.03777,0.66857,1.1467,0.98986,0.98171,0.9925,0.76168,0.93013,0.41879,0.98066,0.000346625,0.000346625,0.000346625
75,391.349,1.03918,0.6726,1.14821,0.99118,0.96975,0.99406,0.77995,0.88783,0.42636,0.96816,0.00033425,0.00033425,0.00033425
76,396.087,1.04852,0.68539,1.15776,0.99343,0.98536,0.995,0.77923,0.91404,0.42172,0.98366,0.000321875,0.000321875,0.000321875
77,400.905,1.00168,0.66767,1.1238,0.99227,0.9693,0.995,0.79017,0.86838,0.41369,0.96565,0.0003095,0.0003095,0.0003095
78,405.756,0.97255,0.64994,1.12074,0.99218,0.94522,0.99136,0.7806,0.87864,0.4211,0.96189,0.000297125,0.000297125,0.000297125
79,410.486,0.97161,0.63212,1.10881,0.99252,0.96407,0.99184,0.79607,0.8167,0.39634,0.95408,0.00028475,0.00028475,0.00028475
80,415.269,0.97675,0.63431,1.10706,0.99151,0.95995,0.99136,0.78734,0.87734,0.41243,0.9681,0.000272375,0.000272375,0.000272375
81,420.116,0.96078,0.6361,1.11235,0.99202,0.96297,0.99324,0.77929,0.86653,0.39825,0.95921,0.00026,0.00026,0.00026
82,424.874,0.99237,0.64193,1.12778,0.99418,0.96263,0.98345,0.80012,0.80908,0.37895,0.95057,0.000247625,0.000247625,0.000247625
83,429.594,0.94154,0.62237,1.09697,0.99046,0.96061,0.98168,0.80132,0.82632,0.39787,0.96332,0.00023525,0.00023525,0.00023525
84,434.338,0.97062,0.63589,1.10324,0.99174,0.96061,0.9796,0.79909,0.84633,0.39587,0.96045,0.000222875,0.000222875,0.000222875
85,439.219,0.96865,0.62871,1.10731,0.99221,0.96555,0.99406,0.78069,0.86942,0.40636,0.96948,0.0002105,0.0002105,0.0002105
86,443.995,0.95447,0.61215,1.09817,0.99414,0.96223,0.99406,0.80104,0.81478,0.37873,0.9544,0.000198125,0.000198125,0.000198125
87,448.781,0.91554,0.5987,1.09316,0.99329,0.96211,0.98298,0.80445,0.80044,0.38428,0.93856,0.00018575,0.00018575,0.00018575
88,453.72,0.97315,0.63878,1.11078,0.98942,0.96061,0.9906,0.81097,0.82729,0.39441,0.94922,0.000173375,0.000173375,0.000173375
89,458.535,0.92717,0.59541,1.08763,0.98997,0.95353,0.98547,0.81724,0.8226,0.40143,0.95514,0.000161,0.000161,0.000161
90,463.327,0.92285,0.60994,1.0811,0.99369,0.96294,0.99406,0.80662,0.82346,0.3942,0.9498,0.000148625,0.000148625,0.000148625
91,506.344,0.91598,0.46679,1.06794,0.99257,0.96061,0.99219,0.81955,0.79191,0.38965,0.94386,0.00013625,0.00013625,0.00013625
92,511.365,0.94176,0.47559,1.08387,0.96896,0.99412,0.995,0.80339,0.82711,0.38138,0.94626,0.000123875,0.000123875,0.000123875
93,516.234,0.8977,0.46093,1.06914,0.99032,0.98821,0.995,0.79572,0.8175,0.38567,0.95699,0.0001115,0.0001115,0.0001115
94,521.15,0.88031,0.43504,1.03861,0.99262,0.98618,0.995,0.79066,0.82677,0.37724,0.96034,9.9125e-05,9.9125e-05,9.9125e-05
95,526.011,0.84538,0.43347,1.03964,0.99056,0.98759,0.995,0.80491,0.82449,0.36828,0.95926,8.675e-05,8.675e-05,8.675e-05
96,531.142,0.8304,0.42041,1.01187,0.98596,0.98794,0.995,0.81168,0.79921,0.3741,0.94844,7.4375e-05,7.4375e-05,7.4375e-05
97,536.217,0.86298,0.42711,1.02449,0.98218,0.98889,0.995,0.81433,0.79137,0.36786,0.94601,6.2e-05,6.2e-05,6.2e-05
98,541.243,0.82827,0.42397,1.01464,0.98052,0.98909,0.995,0.79534,0.80299,0.37083,0.95234,4.9625e-05,4.9625e-05,4.9625e-05
99,546.36,0.82131,0.41779,1.02777,0.97637,0.99082,0.995,0.79263,0.80459,0.36712,0.94947,3.725e-05,3.725e-05,3.725e-05
100,551.391,0.84291,0.43267,1.03078,0.97865,0.99015,0.995,0.81149,0.79727,0.36666,0.94824,2.4875e-05,2.4875e-05,2.4875e-05
1,15.0653,1.64001,3.5127,1.55304,0.0125,0.96667,0.4776,0.3303,0.96163,3.13141,1.03162,0.0004,0.0004,0.0004
2,20.5587,1.55826,2.69539,1.52042,0.87411,0.50445,0.87626,0.42707,1.36227,2.45102,1.19067,0.000796412,0.000796412,0.000796412
3,25.6484,1.58043,2.23666,1.46406,0.7093,0.48977,0.59887,0.37847,1.15299,2.28043,1.06763,0.00117649,0.00117649,0.00117649
4,30.6174,1.56356,2.02296,1.46551,0.37518,0.49583,0.45025,0.20366,1.87772,3.1223,1.54175,0.00117575,0.00117575,0.00117575
5,35.5703,1.5437,1.96432,1.46016,0.90117,0.875,0.9232,0.59693,1.14381,1.52123,1.10399,0.001151,0.001151,0.001151
6,41.807,1.55573,1.76342,1.42492,0.80496,0.84972,0.88,0.5853,1.1174,1.28616,1.0823,0.00112625,0.00112625,0.00112625
7,49.395,1.51448,1.63887,1.39129,0.90059,0.94394,0.95852,0.63408,1.26338,1.10746,1.13668,0.0011015,0.0011015,0.0011015
8,56.9361,1.46525,1.61449,1.37194,0.87513,0.94583,0.94444,0.61298,1.26319,1.00699,1.10247,0.00107675,0.00107675,0.00107675
9,64.3545,1.44726,1.53825,1.36805,0.86214,0.84014,0.87351,0.56685,1.26303,1.22406,1.10073,0.001052,0.001052,0.001052
10,71.6679,1.46036,1.45454,1.39408,0.94071,0.92917,0.95174,0.68197,1.04669,0.92101,1.06363,0.00102725,0.00102725,0.00102725
11,78.9714,1.44564,1.42258,1.38239,0.91144,0.8101,0.92583,0.68723,0.99105,1.02522,1.02263,0.0010025,0.0010025,0.0010025
12,86.3357,1.42626,1.38568,1.35435,0.91109,0.95143,0.96975,0.66474,1.20263,0.80672,1.06474,0.00097775,0.00097775,0.00097775
13,93.5774,1.42838,1.29366,1.32172,0.89816,0.89797,0.94763,0.69488,0.98749,0.86004,0.9742,0.000953,0.000953,0.000953
14,100.881,1.41111,1.28812,1.32214,0.9288,0.96179,0.94356,0.67837,1.01055,0.79337,1.01428,0.00092825,0.00092825,0.00092825
15,108.497,1.38469,1.2977,1.32337,0.85811,0.89674,0.929,0.66652,1.04855,0.9124,1.01478,0.0009035,0.0009035,0.0009035
16,115.895,1.35264,1.20144,1.29565,0.91802,0.92166,0.95661,0.63709,1.22324,0.81264,1.07872,0.00087875,0.00087875,0.00087875
17,123.54,1.35514,1.16922,1.31479,0.88801,0.9113,0.93238,0.6512,1.10282,0.79721,1.00667,0.000854,0.000854,0.000854
18,131.424,1.34918,1.14985,1.28746,0.94811,0.95796,0.97261,0.73809,0.9701,0.68211,0.96432,0.00082925,0.00082925,0.00082925
19,138.923,1.31681,1.10728,1.28079,0.97057,0.93412,0.98113,0.73646,0.99215,0.65505,0.99455,0.0008045,0.0008045,0.0008045
20,146.534,1.30175,1.08154,1.27231,0.92142,0.95015,0.96003,0.70365,1.06473,0.74653,1.00159,0.00077975,0.00077975,0.00077975
21,153.95,1.29921,1.07152,1.27727,0.95236,0.94762,0.96403,0.70577,1.00067,0.68896,1.00702,0.000755,0.000755,0.000755
22,161.2,1.27693,1.04586,1.27874,0.96433,0.92727,0.97739,0.70305,1.00424,0.66171,0.99812,0.00073025,0.00073025,0.00073025
23,168.766,1.27455,1.01632,1.25504,0.93939,0.93328,0.93545,0.71122,0.89971,0.73503,0.9606,0.0007055,0.0007055,0.0007055
24,176.3,1.27231,1.01009,1.25622,0.93922,0.95,0.96324,0.72813,0.92552,0.63809,0.96377,0.00068075,0.00068075,0.00068075
25,184.402,1.26248,0.97053,1.24257,0.95855,0.90946,0.96892,0.73512,0.98662,0.60669,0.98278,0.000656,0.000656,0.000656
26,190.913,1.26256,0.97354,1.23687,0.97838,0.96667,0.97792,0.67935,1.16052,0.5995,1.03587,0.00063125,0.00063125,0.00063125
27,196.009,1.23185,0.94448,1.2316,0.95441,0.94586,0.97694,0.74854,0.97035,0.5937,0.97833,0.0006065,0.0006065,0.0006065
28,201.2,1.20929,0.93355,1.22616,0.99056,0.98333,0.98105,0.75784,0.9028,0.51835,0.95033,0.00058175,0.00058175,0.00058175
29,206.123,1.23694,0.92351,1.23768,0.96342,0.9672,0.97747,0.73088,0.97303,0.5973,0.97206,0.000557,0.000557,0.000557
30,211.003,1.24725,0.92032,1.24584,0.96419,0.95088,0.97223,0.73246,0.92957,0.60509,0.97216,0.00053225,0.00053225,0.00053225
31,215.772,1.21548,0.8997,1.22581,0.9125,0.93268,0.95562,0.7378,0.93302,0.63494,0.96218,0.0005075,0.0005075,0.0005075
32,220.559,1.18562,0.83117,1.18526,0.94892,0.91485,0.96242,0.72604,0.91217,0.59387,0.95147,0.00048275,0.00048275,0.00048275
33,225.34,1.20674,0.88642,1.20824,0.98799,0.97106,0.98097,0.75865,1.00543,0.51853,0.96395,0.000458,0.000458,0.000458
34,230.199,1.17086,0.87009,1.20186,0.92834,0.94809,0.97579,0.75193,0.88375,0.61785,0.94801,0.00043325,0.00043325,0.00043325
35,235.195,1.16391,0.87827,1.19976,0.97954,0.98333,0.9925,0.79118,0.81354,0.47777,0.92049,0.0004085,0.0004085,0.0004085
36,240.161,1.16774,0.82858,1.19333,0.97254,0.96778,0.99136,0.75629,0.90323,0.51661,0.96065,0.00038375,0.00038375,0.00038375
37,245.071,1.13709,0.81478,1.18391,0.9675,0.95006,0.98767,0.77706,0.82387,0.52297,0.93275,0.000359,0.000359,0.000359
38,249.904,1.12959,0.8174,1.17779,0.95706,0.95213,0.98102,0.74368,0.89749,0.56273,0.94284,0.00033425,0.00033425,0.00033425
39,254.715,1.10661,0.80686,1.17588,0.96678,0.95556,0.97581,0.77784,0.80955,0.50515,0.92153,0.0003095,0.0003095,0.0003095
40,259.538,1.08004,0.78231,1.1632,0.97766,0.97131,0.989,0.775,0.81521,0.45842,0.90546,0.00028475,0.00028475,0.00028475
41,300.468,1.06364,0.63142,1.12108,0.94789,0.96417,0.98395,0.77392,0.81518,0.4823,0.91841,0.00026,0.00026,0.00026
42,305.283,1.04771,0.60308,1.11869,0.9775,0.98249,0.98489,0.78413,0.80919,0.44533,0.91857,0.00023525,0.00023525,0.00023525
43,310.159,1.05532,0.59519,1.13232,0.96841,0.96744,0.99136,0.78925,0.7695,0.45559,0.91183,0.0002105,0.0002105,0.0002105
44,314.995,1.03126,0.57915,1.10668,0.96959,0.96667,0.98196,0.79081,0.79864,0.47175,0.91651,0.00018575,0.00018575,0.00018575
45,319.829,0.98643,0.5786,1.09609,0.98614,0.96667,0.99207,0.77456,0.8235,0.46659,0.92301,0.000161,0.000161,0.000161
46,324.557,1.00607,0.55818,1.09342,0.96771,0.95334,0.97402,0.77284,0.79674,0.4909,0.91273,0.00013625,0.00013625,0.00013625
47,329.288,0.97372,0.5575,1.08541,0.99001,0.95603,0.98978,0.7772,0.80837,0.44413,0.91391,0.0001115,0.0001115,0.0001115
48,334.085,0.97866,0.56201,1.07989,0.98914,0.97448,0.98162,0.78164,0.82438,0.41078,0.91608,8.675e-05,8.675e-05,8.675e-05
49,338.87,0.97041,0.556,1.0825,0.98701,0.97792,0.98938,0.78462,0.8015,0.40193,0.91113,6.2e-05,6.2e-05,6.2e-05
50,343.572,0.95119,0.5348,1.07382,0.99002,0.97018,0.99023,0.78634,0.78434,0.39788,0.90603,3.725e-05,3.725e-05,3.725e-05
